0 8045449 6903479 7216141
1 8022521 6898837 7194776
2 8056178 6902480 7179506
3 8092524 7002073 7230806
4 8099808 7111070 7340234
5 8173050 7244963 7422804
6 8217920 7409896 7575798
7 8304603 7562138 7625232
8 8341586 7676817 7685340
9 8373766 7845529 7805521
10 8349706 7846209 7819057
11 8388053 7856192 7845701
12 8351578 7797940 7787827
13 8354533 7764530 7797068
14 8310456 7619890 7676845
15 8268476 7540713 7624032
16 8233218 7316393 7490147
17 8147094 7211846 7372032
18 8112758 7049566 7329299
19 8040899 6964143 7225248
20 8011955 6914887 7213726
21 8032509 6895879 7201882
22 8062798 6960543 7228527
23 8085494 6988650 7289855
24 8080489 7129699 7382879
25 8143221 7267783 7464862
26 8210649 7439287 7598544
27 8253682 7612744 7679826
28 8301723 7716644 7788168
29 8358340 7867117 7819584
30 8400054 7828709 7853414
31 8369984 7904501 7870508
32 8363919 7850225 7858528
33 8353161 7776459 7778990
34 8313203 7655924 7702963
35 8286049 7562711 7638021
36 8243570 7396715 7462475
37 8144087 7177045 7385860
38 8113351 7107161 7335247
39 8052306 6923099 7256789
40 8020745 6949647 7233717
41 8027104 6892319 7246379
42 8032055 6855385 7172396
43 8084284 6975962 7251893
44 8080668 7112309 7380812
45 8147108 7221939 7438585
46 8192668 7387004 7549033
47 8280735 7563171 7594717
48 8307701 7666988 7773501
49 8357382 7825638 7813842
50 8340220 7868716 7883446
51 8339682 7897716 7922626
52 8346691 7885478 7920913
53 8314360 7804391 7852016
54 8285335 7690600 7746182
55 8250402 7561274 7654433
56 8213868 7379017 7508280
57 8138855 7201616 7448771
58 8076193 7082811 7325147
59 7997812 6917312 7244628
60 8046476 6847533 7186956
61 8029112 6813743 7104447
62 8038888 6801654 7149822
63 8054366 6905162 7199935
64 8091780 6997759 7291462
65 8126615 7138028 7366044
66 8185337 7352722 7531148
67 8257114 7533701 7624409
68 8302008 7664717 7713642
69 8379077 7825803 7821847
70 8354990 7854007 7840885
71 8385286 7895160 7923681
72 8365674 7855957 7843038
73 8319949 7775370 7818793
74 8290713 7649821 7676232
75 8278931 7546927 7562591
76 8243845 7306178 7444824
77 8182970 7198707 7362277
78 8157332 7036467 7300584
79 8092049 6972585 7206013
80 8102120 6909438 7171086
81 8090745 6925299 7184052
82 8106222 6979222 7192675
83 8178142 7056314 7283577
84 8184884 7166522 7336850
85 8224818 7272710 7427161
86 8233757 7489133 7593651
87 8319639 7677214 7679558
88 8363489 7814620 7820026
89 8436145 7973326 7889059
90 8432772 7965639 7914471
91 8440256 8003959 7901597
92 8425398 7974325 7926805
93 8399972 7933623 7875206
94 8397193 7819480 7744420
95 8358921 7711010 7706926
96 8314127 7545601 7569410
97 8249192 7385959 7511679
98 8193630 7290216 7413198
99 8141037 7116157 7354885
100 8138589 7122646 7316720
101 8152773 7103276 7318204
102 8196405 7178318 7342813
103 8225332 7262920 7379999
104 8315118 7384665 7476599
105 8314202 7476447 7549844
106 8370309 7698170 7670537
107 8472624 7851940 7747410
108 8518386 7940760 7813873
109 8554191 8135061 7956867
